panel_order,drug_name,study_role,mechanism_class,dataset,cohort,outcome,model,n,gene_pearson_r,pathway_pearson_r,pearson_difference_pathway_minus_gene,pearson_difference_ci_2_5,pearson_difference_ci_97_5,pearson_conclusion,gene_spearman_rho,pathway_spearman_rho,spearman_difference_pathway_minus_gene,spearman_difference_ci_2_5,spearman_difference_ci_97_5,spearman_conclusion,successful_paired_bootstraps
1,trametinib,Exploratory pilot,MEK inhibition,GDSC2,GDSC2_strict_sanger_heldout,LN_IC50,Elastic Net,351,0.5904729394293371,0.5124385069534468,-0.0780344324758902,-0.1442879597661638,-0.0148332836655158,individual genes favored,0.6226481851481852,0.5806787656787656,-0.0419694194694195,-0.0953438353987811,0.0119145717884558,difference uncertain,1000
2,gemcitabine,Confirmatory extension,Antimetabolite,GDSC2,GDSC2_strict_sanger_heldout,LN_IC50,Elastic Net,349,-0.1937352142461701,0.220755884059986,0.4144910983061561,0.2937905464709296,0.5399281437480296,pathway favored,-0.1441082896946942,0.2286998743771789,0.3728081640718731,0.2246671476633827,0.5196681495244377,pathway favored,1000
3,docetaxel,Confirmatory extension,Microtubule stabilization,GDSC2,GDSC2_strict_sanger_heldout,LN_IC50,Elastic Net,351,0.1336324464056227,0.2196621803603547,0.0860297339547319,-0.023130737889133,0.1938010387771967,difference uncertain,0.1590800865800865,0.1930555555555555,0.0339754689754689,-0.0842184804927577,0.1545456905132867,difference uncertain,1000
4,talazoparib,Confirmatory extension,PARP inhibition,GDSC2,GDSC2_strict_sanger_heldout,LN_IC50,Elastic Net,347,0.0862645397659125,0.3706625058930086,0.2843979661270961,0.1198308559136286,0.4422107542383248,pathway favored,0.0702892585957025,0.3308951294704632,0.2606058708747606,0.1119236915780785,0.4046546704177062,pathway favored,1000
5,vorinostat,Confirmatory extension,HDAC inhibition,GDSC2,GDSC2_strict_sanger_heldout,LN_IC50,Elastic Net,352,0.1113835794955759,0.0064545622251929,-0.104929017270383,-0.2264817540733399,-0.0016133147815016,individual genes favored,0.037099035682605,-0.0576111408264382,-0.0947101765090433,-0.2081401602034093,0.0200885113970039,difference uncertain,1000
6,bortezomib,Confirmatory extension,Proteasome inhibition,GDSC2,GDSC2_strict_sanger_heldout,LN_IC50,Elastic Net,348,-0.1117659301262736,0.1603219915692495,0.2720879216955232,0.1733722436352726,0.378848969737899,pathway favored,-0.1727711406676619,0.1621290169923749,0.3349001576600369,0.23707016390643,0.4365916766529139,pathway favored,1000
1,trametinib,Exploratory pilot,MEK inhibition,GDSC1,GDSC1_strict_sanger_heldout,LN_IC50,Elastic Net,319,0.5299189221539515,0.4807234855386166,-0.0491954366153348,-0.1607777070024995,0.0520082859790276,difference uncertain,0.4974755278878571,0.5400969273082156,0.0426213994203584,-0.0292782463735453,0.1092998807573946,difference uncertain,1000
2,gemcitabine,Confirmatory extension,Antimetabolite,GDSC1,GDSC1_strict_sanger_heldout,LN_IC50,Elastic Net,335,0.1500727353257623,-0.0102038681104755,-0.1602766034362378,-0.3119315566974327,-0.0207505701956193,individual genes favored,0.2104729772863654,-0.0204425902991458,-0.2309155675855113,-0.3788346509600216,-0.0852048810383866,individual genes favored,1000
3,docetaxel,Confirmatory extension,Microtubule stabilization,GDSC1,GDSC1_strict_sanger_heldout,LN_IC50,Elastic Net,336,0.3542281086876439,0.0910339101251779,-0.2631941985624659,-0.3799242459860173,-0.1437508420512928,individual genes favored,0.3264616932294863,0.0724231745047547,-0.2540385187247316,-0.378347130831228,-0.1297093909666855,individual genes favored,1000
4,talazoparib,Confirmatory extension,PARP inhibition,GDSC1,GDSC1_strict_sanger_heldout,LN_IC50,Elastic Net,323,0.2277707781065811,0.0349837225207667,-0.1927870555858143,-0.3345858601330953,-0.0425792131418686,individual genes favored,0.1630119629850414,0.0163740553429609,-0.1466379076420804,-0.2958721209414814,0.0133024635319341,difference uncertain,1000
5,vorinostat,Confirmatory extension,HDAC inhibition,GDSC1,GDSC1_strict_sanger_heldout,LN_IC50,Elastic Net,339,0.0913387342819015,-0.0640918729112484,-0.15543060719315,-0.264087969355098,-0.050800450444249,individual genes favored,0.0231933565173464,-0.1138669763344411,-0.1370603328517876,-0.2306162886678733,-0.035796565289482,individual genes favored,1000
6,bortezomib,Confirmatory extension,Proteasome inhibition,GDSC1,GDSC1_strict_sanger_heldout,LN_IC50,Elastic Net,191,0.1088225997969196,0.2417310013353298,0.1329084015384101,-0.0342434043414867,0.2931892210051168,difference uncertain,0.2516741232408108,0.263043479196893,0.0113693559560822,-0.1334275485926878,0.1708054838334953,difference uncertain,1000
