cohort,dataset,outcome,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Mean baseline,349,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Elastic Net,349,-0.1937352142839455,-0.1441082896946942,0.8588744946562722,-0.2956139768681005,-0.0943408558138355,-0.2526815687618602,-0.0322146893541114,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,349,0.2132159572308206,0.2357858483774894,0.2836709632547766,0.0925944684025659,0.3136792823053074,0.1332259846982394,0.3308845707401345,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Mean baseline,349,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Elastic Net,349,-0.165513433627036,-0.1028836789137154,0.8588744946562722,-0.2611803625171312,-0.0760627865806829,-0.2082799987449366,-0.0064039427276402,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Random forest,349,0.1581473937079001,0.1828243962341383,0.2836709632547766,0.0602291038391323,0.2556627443216263,0.0848408269344548,0.2834548234479316,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Mean baseline,562,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Elastic Net,562,-0.1975341182589934,-0.1848952207583021,0.8842206450117037,-0.2739813844875125,-0.1233025598697671,-0.2672750563196215,-0.1004863109844945,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Random forest,562,0.2980704651612603,0.3193876911884787,0.2949024202242408,0.2130759263462932,0.3766792849603124,0.2407140567529482,0.3886005938813419,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Mean baseline,562,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Elastic Net,562,-0.190158327712381,-0.1622292903915064,0.8842206450117037,-0.2622766569716348,-0.1124204061816505,-0.2391138949947664,-0.0796537253503551,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Random forest,562,0.2397300203355671,0.2580177481980861,0.2949024202242408,0.1669449766791695,0.3124754494029396,0.1837202587194158,0.3324731787122513,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Mean baseline,335,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Elastic Net,335,0.1500727360037723,0.2104729772863654,0.8768292754230759,0.0412350850891892,0.2604459567680618,0.1013629699773442,0.3145283424142957,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Random forest,335,0.1650355511991116,0.1480586800812022,0.2869110757134228,0.0487370212206345,0.2782861300846454,0.0436259313272648,0.2537174723588702,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,AUC,Mean baseline,335,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,AUC,Elastic Net,335,0.18294507787432,0.2268260919525555,0.8768292754230759,0.0751743396650103,0.296725480872087,0.1218752362603859,0.3351492791307632,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,AUC,Random forest,335,0.1535748087569278,0.1210902289238155,0.2869110757134228,0.0463775269420437,0.2563924902745615,0.0197610290680258,0.2244551091975385,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Mean baseline,536,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Elastic Net,536,0.1023526249394909,0.1388209321481144,0.900134124718372,0.0196110944043743,0.1887720976962658,0.0568884464316395,0.2259530737360319,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Random forest,536,0.2108135908092899,0.194611186743669,0.2995899192710329,0.1245400535868827,0.2910266441203508,0.1077611877303225,0.2708184707989787,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Mean baseline,536,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Elastic Net,536,0.1340849228595055,0.1686871859051736,0.900134124718372,0.0448124647141218,0.2219850973362483,0.0806745999179885,0.2549665329659618,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Random forest,536,0.1757004825360468,0.1508976030410262,0.2995899192710329,0.1009349993593212,0.2590127404918355,0.0716601955746486,0.2317287025201757,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
