cohort,dataset,outcome,model,n,gene_pearson_r,pathway_pearson_r,pearson_difference_pathway_minus_gene,pearson_difference_ci_2_5,pearson_difference_ci_97_5,pearson_conclusion,gene_spearman_rho,pathway_spearman_rho,spearman_difference_pathway_minus_gene,spearman_difference_ci_2_5,spearman_difference_ci_97_5,spearman_conclusion,successful_paired_bootstraps,panel_order,drug_name,study_role,mechanism_class
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Elastic Net,349,-0.1937352142461701,0.220755884059986,0.4144910983061561,0.2937905464709296,0.5399281437480296,pathway favored,-0.1441082896946942,0.2286998743771789,0.3728081640718731,0.2246671476633827,0.5196681495244377,pathway favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,349,0.2132159572308206,0.29998747203595,0.0867715148051293,-0.0129641067880762,0.1888065593698234,difference uncertain,0.2357858483774894,0.3136127147232769,0.0778268663457874,-0.0258541326649175,0.1917476277421796,difference uncertain,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Elastic Net,349,-0.1655134328244104,0.1877522464421916,0.353265679266602,0.2190188909955445,0.4830509775417815,pathway favored,-0.1028836789137154,0.1642768218837777,0.2671605007974931,0.1285081656313009,0.4103762200063824,pathway favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Random forest,349,0.1581473937079001,0.2285293823079664,0.0703819886000662,-0.024023487195693,0.1594890665472216,difference uncertain,0.1828243962341383,0.2280045732352816,0.0451801770011433,-0.0620594664349368,0.1471670723099293,difference uncertain,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Elastic Net,562,-0.1975341189751961,0.2808418696934526,0.4783759886686487,0.3713130998789666,0.5788857774288639,pathway favored,-0.1848952207583021,0.3091166527700601,0.4940118735283622,0.3819831068785982,0.6046223249594375,pathway favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Random forest,562,0.2980704651612603,0.3486951725075957,0.0506247073463353,-0.0170781724674222,0.1194965574766216,difference uncertain,0.3193876911884787,0.3743454434651262,0.0549577522766475,-0.0200996129903867,0.1273956718860323,difference uncertain,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Elastic Net,562,-0.1901583276782136,0.2458289938593631,0.4359873215375768,0.3283298565794733,0.545762536179328,pathway favored,-0.1622292903915064,0.2363857564576968,0.3986150468492032,0.2830329421012456,0.5102367268571455,pathway favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Random forest,562,0.2397300203355671,0.290011690537797,0.0502816702022299,-0.0196734772361706,0.1218200724573009,difference uncertain,0.2580177481980861,0.2901091912607645,0.0320914430626784,-0.0457158368724261,0.108846442139908,difference uncertain,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Elastic Net,335,0.1500727353257623,-0.0102038681104755,-0.1602766034362378,-0.3119315566974327,-0.0207505701956193,individual genes favored,0.2104729772863654,-0.0204425902991458,-0.2309155675855113,-0.3788346509600216,-0.0852048810383866,individual genes favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Random forest,335,0.1650355511991117,0.0746900178354087,-0.0903455333637029,-0.2065574679179536,0.0224892555885358,difference uncertain,0.1480586800812022,0.0556563844592265,-0.0924022956219756,-0.2161029765778028,0.0270534906716749,difference uncertain,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,AUC,Elastic Net,335,0.1829450775249415,-0.0481218083380078,-0.2310668858629494,-0.3694167753262875,-0.094414904373255,individual genes favored,0.2268260919525555,-0.0562002859951738,-0.2830263779477293,-0.4288992997369659,-0.1390344807062946,individual genes favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_strict_sanger_heldout,GDSC1,AUC,Random forest,335,0.1535748087569278,0.0326491152169202,-0.1209256935400075,-0.2348320517994319,-0.0090316680442574,individual genes favored,0.1210902289238155,0.0163333248215722,-0.1047569041022433,-0.2237278546494341,0.0143494866584256,difference uncertain,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Elastic Net,536,0.1023526228312118,0.0672317574329877,-0.035120865398224,-0.151089514213112,0.0715137570395026,difference uncertain,0.1388209321481144,0.0736297107892376,-0.0651912213588767,-0.1870505217042208,0.0433581278214706,difference uncertain,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Random forest,536,0.21081359080929,0.1140651815936232,-0.0967484092156667,-0.1752125824124464,-0.0183437390946904,individual genes favored,0.194611186743669,0.0933892901700446,-0.1012218965736243,-0.1848776262009013,-0.0138876190360712,individual genes favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Elastic Net,536,0.1340849213971352,0.0090283541322216,-0.1250565672649136,-0.2446874572908958,-0.0013379567818837,individual genes favored,0.1686871859051736,0.0221750070718822,-0.1465121788332913,-0.2670868733443025,-0.0242617253441584,individual genes favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Random forest,536,0.1757004825360468,0.0530065985176523,-0.1226938840183944,-0.2099394225450888,-0.0429499517052429,individual genes favored,0.1508976030410262,0.0344036357657231,-0.1164939672753031,-0.2071994869329192,-0.0362668029918388,individual genes favored,1000,2,gemcitabine,Confirmatory extension,Antimetabolite
