cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,349,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,349,0.220755884059986,0.2286998743771789,0.4608841239561558,0.1249862108722263,0.3127111110866461,0.11755320045177,0.3307666674978953,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Random forest,349,0.29998747203595,0.3136127147232769,0.2849698271429315,0.1985135934879721,0.3906134391560288,0.208027838979,0.4045716838141567,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Mean baseline,349,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Elastic Net,349,0.1877522464421916,0.1642768218837777,0.4608841239561558,0.0985508726463694,0.272963729295237,0.0653509796948826,0.2671422796927297,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Random forest,349,0.2285293823079664,0.2280045732352816,0.2849698271429315,0.1361241560366897,0.318821878577547,0.1259031300373988,0.323933463971974,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,562,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,562,0.2808418696934526,0.3091166527700601,0.4636468414184106,0.2047937157918677,0.3491093336721515,0.2249705449190813,0.3837317798011759,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,LN_IC50,Hallmark pathways,Random forest,562,0.3486951725075957,0.3743454434651262,0.3101972065885077,0.2653864893436652,0.4188246759128005,0.2948159183297626,0.4398354853986099,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Mean baseline,562,,,4.440892098500626e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Elastic Net,562,0.2458289938593631,0.2363857564576968,0.4636468414184106,0.169755995892112,0.318381844760854,0.1515219480111813,0.317188323536048,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
GDSC2_heldout_all_expression_sources,GDSC2,AUC,Hallmark pathways,Random forest,562,0.290011690537797,0.2901091912607645,0.3101972065885077,0.2117027920413606,0.3610760418788808,0.2083299608854341,0.3647704460692384,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,2,gemcitabine,Confirmatory extension,Antimetabolite
