validation_scheme,representation,model,n,pearson_r,spearman_rho,rmse,mae,pearson_difference_pathway_minus_gene,rmse_difference_pathway_minus_gene,gene_set_file,n_pathways,panel_order,drug_name,study_role,mechanism_class
Random cell-line folds,Individual genes,Random forest,532,0.2536117020898881,0.2325200382901477,1.2812377082428998,0.9994769444323568,0.0,0.0,not applicable,,2,gemcitabine,Confirmatory extension,Antimetabolite
Random cell-line folds,Individual genes,Elastic Net,532,0.274894362847158,0.273685692910688,1.3135763455482594,1.0413757195778628,0.0,0.0,not applicable,,2,gemcitabine,Confirmatory extension,Antimetabolite
Random cell-line folds,Individual genes,Mean baseline,532,-0.1151798438628809,-0.1002409708145846,1.3294091065691342,1.0552024767786277,0.0,0.0,not applicable,,2,gemcitabine,Confirmatory extension,Antimetabolite
Held-out tissue folds,Individual genes,Mean baseline,532,-0.0620174511064896,-0.0360947833196786,1.3258818138382331,1.0523484453013454,0.0,0.0,not applicable,,2,gemcitabine,Confirmatory extension,Antimetabolite
Held-out tissue folds,Individual genes,Elastic Net,532,0.2077404925759579,0.2167836515000415,1.405957214658033,1.1106584092537055,0.0,0.0,not applicable,,2,gemcitabine,Confirmatory extension,Antimetabolite
Held-out tissue folds,Individual genes,Random forest,532,0.2350585838302564,0.2151603609143698,1.2876448578932154,1.0076421928433177,0.0,0.0,not applicable,,2,gemcitabine,Confirmatory extension,Antimetabolite
Random cell-line folds,Hallmark pathways,Mean baseline,532,-0.1151798438628809,-0.1002409708145846,1.3294091065691342,1.0552024767786277,-9.714451465470121e-17,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,2,gemcitabine,Confirmatory extension,Antimetabolite
Random cell-line folds,Hallmark pathways,Elastic Net,532,0.2055334518156189,0.1854383948550742,1.2991530720116011,1.031565881953095,-0.069360911031539,-0.0144232735366582,h.all.v2026.1.Hs.symbols.gmt,50.0,2,gemcitabine,Confirmatory extension,Antimetabolite
Random cell-line folds,Hallmark pathways,Random forest,532,0.1605354809561112,0.1278019355954997,1.3120740762214698,1.039191898191693,-0.0930762211337768,0.0308363679785699,h.all.v2026.1.Hs.symbols.gmt,50.0,2,gemcitabine,Confirmatory extension,Antimetabolite
Held-out tissue folds,Hallmark pathways,Mean baseline,532,-0.0620174511064896,-0.0360947833196786,1.3258818138382331,1.0523484453013454,-6.938893903907228e-18,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,2,gemcitabine,Confirmatory extension,Antimetabolite
Held-out tissue folds,Hallmark pathways,Elastic Net,532,0.154838612728207,0.1494533548231248,1.3200636010348437,1.0540970913876615,-0.0529018798477508,-0.0858936136231893,h.all.v2026.1.Hs.symbols.gmt,50.0,2,gemcitabine,Confirmatory extension,Antimetabolite
Held-out tissue folds,Hallmark pathways,Random forest,532,0.1308550142355769,0.1302300174387378,1.3237918020806985,1.0477344559832864,-0.1042035695946794,0.0361469441874831,h.all.v2026.1.Hs.symbols.gmt,50.0,2,gemcitabine,Confirmatory extension,Antimetabolite
Random cell-line folds,Individual genes,Random forest,556,0.259071934052,0.228128243196117,1.1494715506056148,0.9424260393419124,0.0,0.0,not applicable,,3,docetaxel,Confirmatory extension,Microtubule stabilization
Random cell-line folds,Individual genes,Mean baseline,556,-0.0861166584094699,-0.0825749672037024,1.1923841298025784,0.973294401897092,0.0,0.0,not applicable,,3,docetaxel,Confirmatory extension,Microtubule stabilization
Random cell-line folds,Individual genes,Elastic Net,556,0.2259451800324773,0.25034386387731,1.245130812019931,0.9800860378259684,0.0,0.0,not applicable,,3,docetaxel,Confirmatory extension,Microtubule stabilization
Held-out tissue folds,Individual genes,Mean baseline,556,-0.1188957398611339,-0.1196472857515462,1.194654584539049,0.974853800764939,0.0,0.0,not applicable,,3,docetaxel,Confirmatory extension,Microtubule stabilization
Held-out tissue folds,Individual genes,Elastic Net,556,0.1054679022708545,0.1951700922730203,1.3902628844303664,1.025553745170136,0.0,0.0,not applicable,,3,docetaxel,Confirmatory extension,Microtubule stabilization
Held-out tissue folds,Individual genes,Random forest,556,0.2297325368746562,0.1993212436698222,1.158777567061537,0.9474215271592058,0.0,0.0,not applicable,,3,docetaxel,Confirmatory extension,Microtubule stabilization
Random cell-line folds,Hallmark pathways,Mean baseline,556,-0.0861166584094699,-0.0825749672037024,1.1923841298025784,0.973294401897092,-1.3877787807814457e-17,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,3,docetaxel,Confirmatory extension,Microtubule stabilization
Random cell-line folds,Hallmark pathways,Elastic Net,556,0.1149334495379999,0.1063909006716699,1.1937542836823942,0.9721126280166004,-0.1110117304944773,-0.0513765283375367,h.all.v2026.1.Hs.symbols.gmt,50.0,3,docetaxel,Confirmatory extension,Microtubule stabilization
Random cell-line folds,Hallmark pathways,Random forest,556,0.1309590051393671,0.1154714483544417,1.1860794335940177,0.963871337477544,-0.1281129289126328,0.0366078829884026,h.all.v2026.1.Hs.symbols.gmt,50.0,3,docetaxel,Confirmatory extension,Microtubule stabilization
Held-out tissue folds,Hallmark pathways,Mean baseline,556,-0.1188957398611339,-0.1196472857515462,1.194654584539049,0.974853800764939,-6.938893903907227e-17,0.0,h.all.v2026.1.Hs.symbols.gmt,50.0,3,docetaxel,Confirmatory extension,Microtubule stabilization
Held-out tissue folds,Hallmark pathways,Elastic Net,556,0.1420770018777032,0.129266776301895,1.1854276842622942,0.9647350517284026,0.0366090996068487,-0.2048352001680722,h.all.v2026.1.Hs.symbols.gmt,50.0,3,docetaxel,Confirmatory extension,Microtubule stabilization
Held-out tissue folds,Hallmark pathways,Random forest,556,0.1274423863535961,0.1244987260228209,1.1866066100741466,0.959670303218745,-0.10229015052106,0.0278290430126095,h.all.v2026.1.Hs.symbols.gmt,50.0,3,docetaxel,Confirmatory extension,Microtubule stabilization
Random cell-line folds,Individual genes,Random forest,553,0.3026022009582149,0.2785513329925411,1.211853201970028,0.9517739204527494,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
Random cell-line folds,Individual genes,Elastic Net,553,0.2757465633165028,0.2795219097157867,1.2451195485021411,0.9913000988180116,0.0,0.0,not applicable,,4,talazoparib,Confirmatory extension,PARP inhibition
